countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
BLR,Belarus,Belarussian Ruble,2000.0,89177.16406,97656.96094,9.871632,4.372109413,,,73465.90625,86760.91406,85313.30469,94981.73438,586333.4375,0.007689829916,,,88715.73438,58912.64844,65244.46484,381292.375,0.495031178,,,0.5559891462,0.02568440884,0.03095458075,0.087675,0.1122631952,0.1262427568,0.1133921817,Interpolated,Benchmark,Market-based,Outlier,Regular,,,0.4884525836,0.1399743706,0.2850214839,0.1661264598,-0.1847161353,0.105141215,0.1342692226,0.2034914196,0.07455059886,0.4646092355,0.4928109646,0.1337744296,0.16713126
BLR,Belarus,Belarussian Ruble,2001.0,92449.82031,95095.09375,9.811401,4.338583469,,,78350.26563,91552.22656,89063.28906,92638.01563,531366.25,0.006759976968,,,92907.83594,66760.3125,72092.3125,381004.8125,0.4946710467,,,0.5913398862,0.02459706739,0.03069426678,0.139,0.1292678416,0.1434119046,0.1378779113,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.5692430139,0.1425112784,0.276524961,0.1783277988,-0.2040921748,0.03748515248,0.1418408155,0.2273533344,0.1033856198,0.4510093331,0.4382773042,0.1653166413,0.2028823346
BLR,Belarus,Belarussian Ruble,2002.0,94321.25781,96684.5625,9.745923,4.29467392,,,80393.15625,93690.82031,91273.9375,94347.86719,486591.0,0.006201648153,,,97561.00781,72105.97656,76985.47656,381483.7813,0.4949814975,,,0.5866469145,0.03048893251,0.03063328378,0.1790916667,0.1514909267,0.1653113663,0.1599253714,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.6018302441,0.1409428865,0.2502627373,0.1860851943,-0.223650679,0.04452963918,0.1607256234,0.2488650531,0.1292833537,0.4568565488,0.430896908,0.1967051476,0.2482772917
BLR,Belarus,Belarussian Ruble,2003.0,97021.78125,101225.3594,9.679235,4.247723103,,,81607.57813,97602.27344,94451.35938,99476.78125,454342.1563,0.005817818455,,,104385.125,75908.10938,84383.24219,384457.0313,0.5047118068,,,0.554403007,0.04154528677,0.03091717511,0.2051270833,0.1776196212,0.1951099783,0.1852533221,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.5939174891,0.1607882529,0.2264506072,0.2013310343,-0.2366242558,0.05413685367,0.1811880022,0.2843487263,0.1682607383,0.4965901077,0.4910236895,0.2357366681,0.3254044354
BLR,Belarus,Belarussian Ruble,2004.0,103519.4609,108854.3672,9.616634,4.220853806,,,84126.64844,103905.0469,101075.9063,107025.6484,433109.5938,0.005561845843,,,116313.3203,80971.78906,94522.60156,389894.7188,0.5207099319,,,0.5524302721,0.04823637381,0.03163020313,0.21602575,0.2117169946,0.236697197,0.2235388011,Interpolated,Benchmark,Market-based,Regular,Regular,,80.0,0.5871682167,0.1848005354,0.1988737434,0.2398810685,-0.2911485136,0.08042502403,0.2079647183,0.3429495394,0.2227955014,0.5356394053,0.5245596766,0.2930670083,0.4116859436
BLR,Belarus,Belarussian Ruble,2005.0,113256.8281,115156.7578,9.562088,4.303769588,,,92081.73438,113786.3047,112653.4922,112591.9375,423223.9375,0.005468339194,,,127294.875,89491.0,105181.9766,398057.9375,0.541900754,,,0.5697528124,0.05222991109,0.03272455931,0.215382,0.2471185327,0.2772393823,0.2773909271,Benchmark,Benchmark,Market-based,Regular,Regular,0.5646643123,83.33333333,0.6338520646,0.1927719563,0.1839838624,0.2632961273,-0.2869501412,0.01304613333,0.2313379347,0.4050271511,0.3014850616,0.5389512777,0.5168563724,0.354385823,0.4779677689
BLR,Belarus,Belarussian Ruble,2006.0,126670.4453,129523.4297,9.516883,4.356754303,,,101360.1563,128628.25,125305.2344,126670.4844,422243.0,0.00554761244,,,140021.7344,97576.05469,121403.2969,411769.8438,0.582042098,,,0.5791980624,0.05857484788,0.03433155268,0.2144564167,0.2669938505,0.304952085,0.3016653061,Interpolated,Benchmark,Market-based,Regular,Regular,,80.0,0.6198687553,0.2152679116,0.1803189367,0.2760347426,-0.3326110244,0.04112073779,0.2547352016,0.4460493326,0.3091343939,0.5645155311,0.5298398137,0.3875856996,0.5318617821
BLR,Belarus,Belarussian Ruble,2007.0,138922.625,142766.1875,9.480515,4.40040493,,,112982.7344,142998.8125,137200.8281,139577.7969,423755.0938,0.005600325298,,,152033.2656,106922.1875,135595.7188,428139.2813,0.6246345639,,,0.5677343011,0.06376498193,0.03635792062,0.2146078333,0.2921101749,0.3411585987,0.3353487849,Interpolated,Benchmark,Market-based,Regular,Regular,,83.33333333,0.6268578768,0.215049088,0.1826027185,0.2840830088,-0.3607179821,0.05212521926,0.2818692327,0.5257805586,0.3272663951,0.6122123003,0.5698933005,0.4527536035,0.6312999129
BLR,Belarus,Belarussian Ruble,2008.0,158784.0938,165892.0,9.452855,4.486717701,,,130026.9141,167297.6406,157861.6406,161562.7188,431282.0313,0.005788492039,,,167607.8906,120389.6875,159459.2969,450035.375,0.6768978834,,,0.5458779931,0.07730926573,0.03850078955,0.21363975,0.3320846856,0.397862196,0.3887479603,Interpolated,Benchmark,Market-based,Regular,Regular,,83.33333333,0.6258411407,0.2306888998,0.1789665073,0.2972261012,-0.3813833594,0.04866069183,0.3282968998,0.6273410916,0.3453304172,0.6782660484,0.6391261816,0.5453731418,0.845905304
BLR,Belarus,Belarussian Ruble,2009.0,153846.625,160476.9375,9.433152,4.517699718,,,131925.0938,166194.7656,152229.8906,158884.1719,436931.4375,0.006049571559,,,167866.2188,120335.8047,157416.4375,471828.6563,0.719325304,,,0.5770076513,0.05976533517,0.04014014453,0.2793049218,0.2788411975,0.3341866136,0.3201904297,Interpolated,Benchmark,Market-based,Regular,Regular,,84.44444444,0.6223974228,0.215689674,0.207924962,0.2147239894,-0.3118031621,0.05106706545,0.2891674936,0.5472450852,0.2479307055,0.6244583726,0.5766784549,0.4728050828,0.6021190286
